Timestamp,Source,Bt-med,Bt-min,Bt-max,Bx-med,Bx-min,Bx-max,By-med,By-min,By-max,Bz-med,Bz-min,Bz-max,Phi-mean,Phi-min,Phi-max,Theta-med,Theta-min,Theta-max,Dens-med,Dens-min,Dens-max,Speed-med,Speed-min,Speed-max,Temp-med,Temp-min,Temp-max,date_part,time_part,KP
9/9/2023 0:00,1,5.78,5.6,6.07,4.63,3.95,5.21,-2.27,-4.1,0.28,-2.32,-3.93,-0.69,335.81,0.96,353.95,-24.02,-44.05,-6.51,1.57,0.71,1.91,402.1,328.9,407.1,54427,5000,81376,9/9/2023,00:00:00,3.0
9/9/2023 3:00,1,5.7,4.86,5.9,3.64,1.98,5.56,-1.33,-2.18,0.23,-4.0,-5.16,2.85,342.5,0.8,357.51,-46.11,-64.82,31.5,2.1,0.79,3.31,377.1,339.9,421.5,79342,8444,174425,9/9/2023,03:00:00,1.67
9/9/2023 6:00,1,5.83,5.61,6.05,3.3,2.22,4.91,-2.51,-3.63,-1.32,-3.87,-5.05,-2.38,323.56,309.95,337.09,-42.01,-58.36,-24.06,2.31,1.2,3.44,365.2,329.1,372.2,82018,9347,127689,9/9/2023,06:00:00,1.0
9/9/2023 9:00,1,5.89,5.44,6.18,3.15,2.45,4.59,0.33,-0.65,4.11,-4.81,-5.62,0.01,14.66,0.27,359.38,-54.06,-66.26,0.15,3.35,1.74,3.84,370.2,365.9,378.9,86053,45705,119563,9/9/2023,09:00:00,2.0
9/9/2023 12:00,1,5.97,5.28,6.56,2.91,-1.96,5.21,-1.38,-4.04,3.05,-4.48,-5.81,-2.15,335.82,26.35,354.61,-50.96,-75.68,-22.38,5.63,2.37,8.84,382.6,376.8,400.1,75813,38705,116586,9/9/2023,12:00:00,2.67
9/9/2023 15:00,1,6.36,5.61,6.83,5.92,5.42,6.78,0.89,-1.25,2.97,-0.66,-2.16,1.54,7.64,2.85,358.66,-6.2,-19.8,13.68,3.04,1.36,3.87,373.2,353.8,427.0,119072,21327,138027,9/9/2023,15:00:00,2.67
9/9/2023 18:00,1,4.49,4.2,5.68,1.93,0.55,2.88,2.8,2.05,4.04,3.05,1.12,3.72,55.93,40.51,80.73,41.63,15.16,47.25,10.47,9.71,11.62,381.8,379.0,383.2,48201,36544,68041,9/9/2023,18:00:00,0.33
9/9/2023 21:00,1,4.22,3.99,4.4,2.05,1.57,2.99,-0.22,-1.84,0.85,3.52,2.68,4.04,354.88,0.55,358.11,59.78,38.61,68.75,8.27,7.2,8.86,360.7,356.2,363.3,42596,35092,46566,9/9/2023,21:00:00,0.67
9/10/2023 0:00,1,5.99,5.53,6.29,2.54,0.31,3.79,-4.52,-5.21,-1.16,2.74,1.46,4.96,303.5,273.66,329.03,27.06,15.25,65.5,2.38,1.13,3.82,348.2,332.4,365.9,40116,5852,102054,9/10/2023,00:00:00,2.0
9/10/2023 3:00,1,6.32,6.09,6.47,4.71,3.56,5.19,-1.81,-2.71,-1.11,3.86,3.17,4.5,338.81,325.5,347.97,37.35,30.87,47.3,1.66,0.99,2.42,407.5,397.1,443.4,55840,20999,172367,9/10/2023,03:00:00,0.67
9/10/2023 6:00,1,5.47,5.37,5.94,5.08,4.82,5.48,-1.58,-2.74,0.28,1.38,0.97,1.67,343.42,3.19,352.77,14.73,10.06,18.11,2.1,1.7,2.78,398.2,396.0,434.7,70292,30528,256612,9/10/2023,06:00:00,0.67
9/10/2023 9:00,1,5.34,4.99,5.72,3.96,3.21,4.6,-3.08,-3.58,-2.4,1.76,0.9,3.4,321.32,311.89,329.82,19.93,9.87,36.93,1.91,1.13,2.8,323.1,312.1,427.6,18043,11729,139431,9/10/2023,09:00:00,0.67
9/10/2023 12:00,1,5.8,5.75,5.9,3.99,3.47,4.68,-3.75,-4.23,-2.93,1.9,1.36,2.29,317.42,309.36,327.8,19.24,13.53,22.97,2.35,1.92,3.17,318.8,314.5,321.0,16802,13671,20465,9/10/2023,12:00:00,0.67
9/10/2023 15:00,1,5.64,5.5,5.97,4.96,0.69,5.68,-1.89,-3.92,-0.21,-0.04,-5.43,1.55,336.77,314.02,356.66,-0.4,-82.44,15.6,2.71,2.01,4.13,315.0,310.1,352.0,17305,14176,48031,9/10/2023,15:00:00,1.33
9/10/2023 18:00,1,5.2,4.96,5.38,3.97,1.78,4.49,-3.13,-4.58,1.92,1.13,-1.9,3.0,324.18,21.17,357.09,12.33,-22.53,39.19,2.09,1.54,2.44,322.1,311.9,346.2,15018,12962,44445,9/10/2023,18:00:00,1.0
9/10/2023 21:00,1,4.99,3.66,5.54,-0.56,-2.17,1.34,4.72,2.69,5.18,-0.37,-1.49,1.84,98.26,70.83,121.15,-4.11,-17.49,29.16,4.14,3.66,4.81,355.1,348.9,363.5,51337,20259,86527,9/10/2023,21:00:00,1.33
9/11/2023 0:00,1,7.49,7.22,7.83,3.43,2.75,4.24,-6.6,-7.06,-6.08,-0.92,-2.45,0.8,297.53,292.38,304.87,-7.06,-19.85,6.33,4.85,4.07,5.73,366.4,357.1,368.8,60513,53987,81418,9/11/2023,00:00:00,2.33
9/11/2023 3:00,1,8.29,7.63,8.58,3.48,-0.25,4.06,-6.57,-7.36,-4.98,3.53,1.2,5.76,294.1,267.11,302.02,25.42,8.21,47.42,7.12,6.1,9.38,375.0,370.8,379.2,50637,42290,54810,9/11/2023,03:00:00,1.67
9/11/2023 6:00,1,7.57,6.93,7.94,1.19,-0.74,3.77,-5.71,-7.89,-3.93,4.19,-3.46,6.29,280.54,259.3,313.56,34.68,-27.13,56.73,6.5,4.96,7.41,399.4,387.9,405.6,86066,57806,94797,9/11/2023,06:00:00,1.67
9/11/2023 9:00,1,6.17,5.66,6.66,4.2,-0.89,6.01,-1.27,-5.89,1.76,2.01,-4.1,3.55,337.18,2.3,359.53,18.85,-43.2,38.96,4.11,2.45,7.65,392.4,388.3,413.7,57602,33106,88410,9/11/2023,09:00:00,1.67
9/11/2023 12:00,1,5.51,4.96,5.95,0.59,-3.5,2.72,-3.52,-5.09,0.14,3.25,0.16,5.61,285.11,41.4,311.27,42.09,1.76,87.51,5.98,5.24,7.34,403.8,398.8,423.9,81674,73191,97137,9/11/2023,12:00:00,2.0
9/11/2023 15:00,1,5.67,5.46,6.06,3.56,0.9,5.39,0.4,-5.36,3.38,3.33,0.3,4.92,1.51,4.64,358.35,34.23,3.35,56.13,3.87,1.92,5.69,390.7,383.6,404.5,51428,36355,115005,9/11/2023,15:00:00,1.67
9/11/2023 18:00,1,7.05,6.74,7.26,1.73,-0.48,5.12,-6.27,-7.0,-0.83,2.08,-2.7,4.39,289.42,265.49,350.73,16.68,-21.85,38.87,5.53,3.31,6.54,406.0,385.1,418.6,84578,43571,113365,9/11/2023,18:00:00,1.67
9/11/2023 21:00,1,7.46,7.06,7.54,4.02,2.82,4.94,-5.8,-6.73,-3.57,1.44,-1.15,5.54,304.85,293.79,314.53,11.36,-9.31,49.84,4.25,3.37,5.0,398.6,385.8,403.1,84574,56283,103663,9/11/2023,21:00:00,2.0
9/12/2023 0:00,1,6.38,6.2,6.69,3.11,2.71,3.34,-5.52,-5.87,-5.36,-0.69,-0.89,0.08,299.26,295.24,301.85,-6.19,-7.97,0.72,10.99,10.37,11.4,387.0,384.3,387.9,14438,10715,14902,9/12/2023,00:00:00,1.67
9/12/2023 3:00,1,6.6,6.45,6.73,4.35,3.84,4.88,-4.66,-5.36,-4.37,1.35,0.14,1.82,312.42,305.65,317.75,11.89,1.23,16.15,6.69,6.45,7.31,370.7,368.6,377.0,8307,7929,10430,9/12/2023,03:00:00,1.0
9/12/2023 6:00,1,6.35,5.98,6.6,3.96,2.8,5.07,-4.45,-4.74,-4.0,1.49,0.31,3.7,312.03,301.82,320.65,14.44,2.74,34.21,8.33,7.15,9.67,371.0,365.4,375.8,9105,7272,12544,9/12/2023,06:00:00,1.33
